created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-09-28 21:01:42,1442957713516888067,"RT @amisdelaterre: Il est urgent de renoncer à tout nouveau projet d’énergie fossile dans cette zone fortement touchée par les ouragans, ma…",marie270704,Sassa12,Wed Jan 25 14:53:57 +0000 2012,[]
2021-09-28 20:45:03,1442953523130343424,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",bachaboubaker,bachir aboubaker,Mon Jun 24 04:50:17 +0000 2013,[]
2021-09-28 20:21:23,1442947568636358665,"RT @GameOnlyFr: [AVIS AUX ÉTUDIANTS] - 2500€ de lots à gagner lors d’un tournoi #RocketLeague organisé par @SocieteGenerale 📢

Trouver votr…",BDEGamingCampus,BDE Gaming Campus,Fri Jul 10 11:22:48 +0000 2020,[]
2021-09-28 20:11:28,1442945073184837632,"RT @amisdelaterre: Il est urgent de renoncer à tout nouveau projet d’énergie fossile dans cette zone fortement touchée par les ouragans, ma…",Mariann73338731,Marianne M,Fri Apr 10 20:02:23 +0000 2020,[]
2021-09-28 20:00:57,1442942424511176705,"RT @SocieteGenerale: [#ArtContemporain] Retrouvez dès le 11/10, le volet 2 de l'#ExpoTransportCommun proposée par le Mécénat artistique : l…",beauxartsparis,Beaux-Arts de Paris,Thu Aug 29 15:20:29 +0000 2013,[]
2021-09-28 19:52:34,1442940313996124161,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",cfdtccrfscl,CFDT CCRF et Labos,Thu Jul 19 15:16:46 +0000 2012,[]
2021-09-28 19:45:27,1442938524114644992,"RT @SocieteGenerale: [#ArtContemporain] Retrouvez dès le 11/10, le volet 2 de l'#ExpoTransportCommun proposée par le Mécénat artistique : l…",Collection_SG,Collection d'art Société Générale,Tue Jan 15 09:11:39 +0000 2013,[]
2021-09-28 19:18:29,1442931740599721984,RT @wizbii: Ce soir c’est à #Bordeaux que se déroule le Job Dating @SocieteGenerale ! 💼 Les jeunes présents échangent avec les recruteurs b…,Lophias_Dossa__,C'est la shinance enfaiteuhh🇧🇯,Wed Oct 31 11:29:01 +0000 2018,[]
2021-09-28 18:54:52,1442925797098983429,@Matias05178639 @franckriester @francediplo @DGTresor @ambafrmada @GroupeColas @POMA_ropeways @Bpifrance… https://t.co/vaKIKdqvwY,TPAMC69,Touche pas à mon Ciel,Tue Apr 20 08:31:26 +0000 2021,"[{'url': 'https://t.co/vaKIKdqvwY', 'expanded_url': 'https://twitter.com/i/web/status/1442925797098983429', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [106, 129]}]"
2021-09-28 18:54:15,1442925641033154560,"RT @amisdelaterre: On arrête cette folie ?
C'est sans compter @SocieteGenerale, qui fait tout pour développer 2 nvx méga-projets de gaz de…",Marie_dz,MarieTeillet-Louboff,Wed Mar 02 21:14:48 +0000 2011,[]
2021-09-28 18:53:46,1442925517104041984,"RT @amisdelaterre: On arrête cette folie ?
C'est sans compter @SocieteGenerale, qui fait tout pour développer 2 nvx méga-projets de gaz de…",_RedFrog,RedFrog,Sun Jun 07 16:12:10 +0000 2009,[]
2021-09-28 18:46:48,1442923766384717825,"RT @amisdelaterre: On arrête cette folie ?
C'est sans compter @SocieteGenerale, qui fait tout pour développer 2 nvx méga-projets de gaz de…",GADAULT,GADAULT,Mon Jun 03 06:55:02 +0000 2013,[]
2021-09-28 18:33:26,1442920402037067777,Ce soir c’est à #Bordeaux que se déroule le Job Dating @SocieteGenerale ! 💼 Les jeunes présents échangent avec les… https://t.co/6h6YLby8pS,wizbii,WIZBII,Wed Nov 11 14:40:06 +0000 2009,"[{'url': 'https://t.co/6h6YLby8pS', 'expanded_url': 'https://twitter.com/i/web/status/1442920402037067777', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2021-09-28 18:00:01,1442911990431641600,🚨 Fraudes bancaires et #cybercriminalité : le Centre d’Affaires Entreprises @societegenerale de Provence a le plais… https://t.co/voMlYsKzFE,IRCE_fr,IRCE,Wed Apr 08 09:54:28 +0000 2015,"[{'url': 'https://t.co/voMlYsKzFE', 'expanded_url': 'https://twitter.com/i/web/status/1442911990431641600', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-28 17:53:39,1442910391441313795,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",Abdelmalekalaou,abdelmalekalaou,Sun Dec 09 12:28:18 +0000 2012,[]
2021-09-28 17:42:27,1442907572873224198,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",abdiosa,Abdourahman Samaleh,Wed Dec 14 04:28:05 +0000 2011,[]
2021-09-28 17:34:52,1442905661155676162,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",omar_hadi,Aboubaker Omar Hadi,Tue Nov 03 00:44:52 +0000 2015,[]
2021-09-28 17:13:51,1442900374646509569,"RT @amisdelaterre: On arrête cette folie ?
C'est sans compter @SocieteGenerale, qui fait tout pour développer 2 nvx méga-projets de gaz de…",isidornazareth,isidordenazareth,Wed Jul 01 20:44:14 +0000 2009,[]
2021-09-28 16:53:49,1442895330081607680,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",FabienVAL,Fabien VAL,Thu Nov 14 22:46:36 +0000 2013,[]
2021-09-28 16:46:31,1442893494356348930,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",BEscoubes,Blandine Escoubes,Wed May 08 09:22:31 +0000 2019,[]
2021-09-28 16:41:34,1442892249927503873,"RT @SocieteGenerale: [#PositiveImpactWeek 🌱] As part of our commitment to help our clients generate positive impact, we're holding a virtua…",IntermarketPR,Lansons Intermarket,Mon Aug 23 17:30:03 +0000 2010,[]
2021-09-28 16:38:22,1442891442532151301,Depuis quand tu dois *payer* pour faire un dépôt d'espèce dans ta banque ? On en parle @SocieteGenerale ? Je sais b… https://t.co/HNUTLLl2yT,fragmentaire,Jean*,Fri Feb 12 08:19:32 +0000 2010,"[{'url': 'https://t.co/HNUTLLl2yT', 'expanded_url': 'https://twitter.com/i/web/status/1442891442532151301', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-28 16:35:41,1442890769472253954,"RT @SocieteGenerale: [#Immobilier #SommetGParis] @EricGroven, Pdt de @SOGEPROM revient sur les engagements de Société Générale en faveur du…",MireilleMour,Mireille Mourtada,Sat Jan 31 09:51:39 +0000 2015,[]
2021-09-28 16:31:38,1442889750046822409,"RT @amisdelaterre: Il est urgent de renoncer à tout nouveau projet d’énergie fossile dans cette zone fortement touchée par les ouragans, ma…",Nicolasnne,NicolasNe,Sun Oct 27 07:45:13 +0000 2013,[]
2021-09-28 16:25:47,1442888276650512384,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",DrEmuwa,Dr Anino Emuwa,Wed Feb 22 13:52:00 +0000 2017,[]
2021-09-28 16:20:02,1442886829703897088,Il est urgent de renoncer à tout nouveau projet d’énergie fossile dans cette zone fortement touchée par les ouragan… https://t.co/cOJZ6RiaVa,amisdelaterre,Les Amis de la Terre FR,Tue Apr 12 00:21:16 +0000 2011,"[{'url': 'https://t.co/cOJZ6RiaVa', 'expanded_url': 'https://twitter.com/i/web/status/1442886829703897088', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-28 16:19:57,1442886810607263749,"On arrête cette folie ?
C'est sans compter @SocieteGenerale, qui fait tout pour développer 2 nvx méga-projets de ga… https://t.co/6SxLH7GhnT",amisdelaterre,Les Amis de la Terre FR,Tue Apr 12 00:21:16 +0000 2011,"[{'url': 'https://t.co/6SxLH7GhnT', 'expanded_url': 'https://twitter.com/i/web/status/1442886810607263749', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-28 16:07:11,1442883597879369732,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",AristophaneGomi,aristophane gomi,Fri Sep 22 04:19:46 +0000 2017,[]
2021-09-28 15:31:53,1442874711109632005,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",SihamMorchid,Siham Morchid,Tue Feb 22 14:02:08 +0000 2011,[]
2021-09-28 15:17:07,1442870995736477696,"RT @p_ulseon: Kick off #disruptcampusnantes 4ème promo. Maquettage vision projet, team building, exploration problème et rencontre mentors.…",lecolededesign,L'École de design,Mon Apr 28 19:04:52 +0000 2008,[]
2021-09-28 15:00:11,1442866736928231430,RT @ReclaimFinance: @TotalEnergies @SumOfUs @natixis @SocieteGenerale @CreditSuisse @blackrock @Amundi_FR @AXA @BNPParibas @jpmorgan @UBS @…,Lucomo,Lucomo,Tue Jun 16 23:58:03 +0000 2009,[]
2021-09-28 14:50:39,1442864337182285830,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",LopesInsights,Carlos Lopes,Thu Feb 14 15:31:11 +0000 2013,[]
2021-09-28 14:45:15,1442862976990539779,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",AmakanessAg,Le Méhari du Désert,Sat Jun 08 16:32:25 +0000 2013,[]
2021-09-28 14:33:30,1442860018349527043,"RT @ambition_africa: #AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11 à…",Laurence_Beau,Laurence BEAU,Thu Jan 24 12:37:44 +0000 2013,[]
2021-09-28 14:32:47,1442859840548704256,"#AMBITIONAFRICA conférence ""L'Afrique, c'est maintenant!"", rejoignez nous pour parler #économie et #afrique le 5/11… https://t.co/p2iGZHfVlx",ambition_africa,Ambition Africa,Mon Jun 04 12:13:45 +0000 2018,"[{'url': 'https://t.co/p2iGZHfVlx', 'expanded_url': 'https://twitter.com/i/web/status/1442859840548704256', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-28 14:27:02,1442858392243118085,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",lonewolfs70,Laurent Procureur bénévole,Tue Feb 21 13:45:09 +0000 2017,[]
2021-09-28 14:23:45,1442857567580049417,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",manegiste,Manegiste Flou 🏴‍☠️🔻🛠💉💉 #EnnemiDeLaRepublique,Sun Mar 22 12:20:27 +0000 2020,[]
2021-09-28 14:16:56,1442855851241394184,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",Defre83727919,Defre,Fri Jul 31 10:37:13 +0000 2020,[]
2021-09-28 14:16:51,1442855831532343298,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",mistercool87,miguel087🕊🔻🌿🐝🌎,Sat Sep 05 10:40:57 +0000 2015,[]
2021-09-28 14:02:10,1442852134031069189,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",ZazooClx,Zaz🌍🌎,Sun May 27 11:49:20 +0000 2012,[]
2021-09-28 13:53:33,1442849965215260691,"RT @kerviel_j: @dgccrf franchement c’est pas gentil!
@SocieteGenerale si jamais vous avez besoin d’un témoin de moralité n’hésitez pas !",_20_100,Vincent,Tue May 24 18:03:16 +0000 2011,[]
2021-09-28 13:36:21,1442845639142948869,"RT @GameOnlyFr: [AVIS AUX ÉTUDIANTS] - 2500€ de lots à gagner lors d’un tournoi #RocketLeague organisé par @SocieteGenerale 📢

Trouver votr…",EvolveBDE,Evolve,Sun Nov 24 11:40:29 +0000 2019,[]
2021-09-28 13:33:42,1442844972370337798,"La @SocieteGenerale organise un tournoi en 2v2, GRATUIT et ouvert à TOUS les étudiants en @auvergnerhalpes 🏎

Au pr… https://t.co/HpwRM19Ymf",GameOnlyFr,Game Only,Mon Jan 06 16:21:22 +0000 2020,"[{'url': 'https://t.co/HpwRM19Ymf', 'expanded_url': 'https://twitter.com/i/web/status/1442844972370337798', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-28 13:33:42,1442844968977158157,"[AVIS AUX ÉTUDIANTS] - 2500€ de lots à gagner lors d’un tournoi #RocketLeague organisé par @SocieteGenerale 📢

Trou… https://t.co/Z0nsijvg9y",GameOnlyFr,Game Only,Mon Jan 06 16:21:22 +0000 2020,"[{'url': 'https://t.co/Z0nsijvg9y', 'expanded_url': 'https://twitter.com/i/web/status/1442844968977158157', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-09-28 13:30:59,1442844287197138956,"RT @p_ulseon: Kick off #disruptcampusnantes 4ème promo. Maquettage vision projet, team building, exploration problème et rencontre mentors.…",DenizotChloe,matoma,Wed Jun 04 11:26:59 +0000 2014,[]
